date,count,position
2020-01-01,0,26269
2020-01-08,0,26269
2020-01-15,0,26269
2020-01-22,0,26269
2020-01-29,0,26269
2020-02-05,0,26269
2020-02-12,0,26269
2020-02-19,0,26269
2020-02-26,0,26269
2020-03-04,0,26269
2020-03-11,0,26269
2020-03-18,0,26269
2020-03-25,0,26269
2020-04-01,0,26269
2020-04-08,0,26269
2020-04-15,0,26269
2020-04-22,0,26269
2020-04-29,0,26269
2020-05-06,0,26269
2020-05-13,0,26269
2020-05-20,0,26269
2020-05-27,0,26269
2020-06-03,0,26269
2020-06-10,0,26269
2020-06-17,0,26269
2020-06-24,0,26269
2020-07-01,0,26269
2020-07-08,0,26269
2020-07-15,0,26269
2020-07-22,0,26269
2020-07-29,0,26269
2020-08-05,0,26269
2020-08-12,0,26269
2020-08-19,0,26269
2020-08-26,0,26269
2020-09-02,0,26269
2020-09-09,0,26269
2020-09-16,0,26269
2020-09-23,0,26269
2020-09-30,0,26269
2020-10-07,0,26269
2020-10-14,0,26269
2020-10-21,0,26269
2020-10-28,0,26269
2020-11-04,0,26269
2020-11-11,0,26269
2020-11-18,0,26269
2020-11-25,0,26269
2020-12-02,0,26269
2020-12-09,0,26269
2020-12-16,0,26269
2020-12-23,0,26269
2020-12-30,0,26269
2021-01-06,1,26269
2021-01-13,0,26269
2021-01-20,0,26269
2021-01-27,0,26269
2021-02-03,0,26269
2021-02-10,0,26269
2021-02-17,1,26269
2021-02-24,0,26269
2021-03-03,0,26269
2021-03-10,0,26269
2021-03-17,0,26269
2021-03-24,0,26269
2021-03-31,1,26269
2021-04-07,0,26269
2021-04-14,0,26269
2021-04-21,0,26269
2021-04-28,0,26269
2021-05-05,0,26269
2021-05-12,0,26269
2021-05-19,0,26269
2021-05-26,0,26269
2021-06-02,0,26269
2021-06-09,0,26269
2021-06-16,0,26269
2021-06-23,0,26269
2021-06-30,0,26269
2021-07-07,1,26269
2021-07-14,0,26269
2021-07-21,0,26269
2021-07-28,0,26269
2021-08-04,1,26269
2021-08-11,0,26269
2021-08-18,1,26269
2021-08-25,0,26269
2021-09-01,0,26269
2021-09-08,2,26269
2021-09-15,0,26269
2021-09-22,1,26269
2021-09-29,0,26269
2021-10-06,0,26269
2021-10-13,0,26269
2021-10-20,1,26269
2021-10-27,0,26269
2021-11-03,0,26269
2021-11-10,0,26269
2021-11-17,0,26269
2021-11-24,0,26269
2021-12-01,0,26269
2021-12-08,0,26269
2021-12-15,0,26269
2021-12-22,1,26269
2021-12-29,2,26269
2022-01-05,0,26269
2022-01-12,1,26269
2022-01-19,3,26269
2022-01-26,1,26269
2022-02-02,4,26269
2022-02-09,0,26269
2022-02-16,3,26269
2022-02-23,9,26269
2022-03-02,6,26269
2022-03-09,3,26269
2022-03-16,6,26269
2022-03-23,2,26269
2022-03-30,4,26269
2022-04-06,4,26269
2022-04-13,6,26269
2022-04-20,2,26269
2022-04-27,0,26269
2022-05-04,2,26269
2022-05-11,0,26269
2022-05-18,1,26269
2022-05-25,2,26269
2022-06-01,2,26269
2022-06-08,2,26269
2022-06-15,1,26269
2022-06-22,1,26269
2022-06-29,2,26269
2022-07-06,1,26269
2022-07-13,3,26269
2022-07-20,0,26269
2022-07-27,0,26269
2022-08-03,1,26269
2022-08-10,1,26269
2022-08-17,2,26269
2022-08-24,1,26269
2022-08-31,1,26269
2022-09-07,0,26269
2022-09-14,1,26269
2022-09-21,3,26269
2022-09-28,0,26269
2022-10-05,0,26269
2022-10-12,1,26269
2022-10-19,3,26269
2022-10-26,1,26269
2022-11-02,1,26269
2022-11-09,1,26269
2022-11-16,4,26269
2022-11-23,2,26269
2022-11-30,1,26269
2022-12-07,2,26269
2022-12-14,0,26269
2022-12-21,0,26269
2022-12-28,0,26269
2023-01-04,3,26269
2023-01-11,0,26269
2023-01-18,0,26269
2023-01-25,1,26269
2023-02-01,0,26269
2023-02-08,0,26269
2023-02-15,0,26269
2023-02-22,0,26269
2023-03-01,1,26269
2023-03-08,0,26269
2023-03-15,0,26269
2023-03-22,0,26269
2023-03-29,0,26269
2023-04-05,0,26269
2023-04-12,0,26269
2023-04-19,2,26269
2023-04-26,0,26269
2023-05-03,0,26269
2023-05-10,0,26269
2023-05-17,0,26269
2023-05-24,0,26269
2023-05-31,0,26269
2023-06-07,0,26269
2023-06-14,0,26269
2023-06-21,0,26269
2023-06-28,0,26269
2023-07-05,0,26269
2023-07-12,0,26269
2023-07-19,1,26269
2023-07-26,0,26269
2023-08-02,0,26269
2023-08-09,0,26269
2023-08-16,0,26269
2023-08-23,0,26269
2023-08-30,0,26269
2023-09-06,0,26269
2023-09-13,0,26269
2023-09-20,0,26269
2023-09-27,0,26269
2023-10-04,0,26269
2023-10-11,0,26269
2023-10-18,0,26269
2023-10-25,0,26269
2023-11-01,0,26269
2023-11-08,0,26269
2023-11-15,0,26269
2023-11-22,0,26269
2023-11-29,0,26269
2023-12-06,0,26269
2023-12-13,0,26269
2023-12-20,0,26269
2023-12-27,0,26269
2024-01-03,0,26269
2024-01-10,0,26269
2024-01-17,0,26269
2024-01-24,0,26269
2024-01-31,0,26269
2024-02-07,0,26269
2024-02-14,0,26269
2024-02-21,0,26269
2024-02-28,0,26269
2024-03-06,0,26269
2024-03-13,0,26269
2024-03-20,0,26269
2024-03-27,0,26269
2024-04-03,0,26269
2024-04-10,0,26269
2024-04-17,0,26269
2024-04-24,0,26269
2024-05-01,0,26269
2024-05-08,0,26269
2024-05-15,0,26269
2024-05-22,0,26269
2024-05-29,0,26269
2024-06-05,0,26269
2024-06-12,0,26269
2024-06-19,0,26269
2024-06-26,0,26269
2024-07-03,0,26269
2024-07-10,0,26269
2024-07-17,0,26269
2024-07-24,0,26269
2024-07-31,1,26269
2024-08-07,1,26269
2024-08-14,0,26269
2024-08-21,0,26269
2024-08-28,0,26269
2024-09-04,0,26269
2024-09-11,0,26269
2024-09-18,0,26269
2024-09-25,0,26269
2024-10-02,0,26269
2024-10-09,0,26269
2024-10-16,0,26269
2024-10-23,0,26269
2024-10-30,0,26269
2024-11-06,0,26269
2024-11-13,0,26269
2024-11-20,0,26269
2024-11-27,0,26269
2024-12-04,0,26269
2024-12-11,0,26269
2024-12-18,0,26269
2024-12-25,0,26269
2025-01-01,0,26269
2025-01-08,0,26269
2025-01-15,0,26269
2025-01-22,0,26269
2025-01-29,1,26269
2025-02-05,0,26269
2025-02-12,0,26269
2025-02-19,0,26269
2025-02-26,0,26269
2025-03-05,0,26269
2025-03-12,0,26269
2025-03-19,0,26269
2025-03-26,0,26269
2025-04-02,0,26269
2025-04-09,0,26269
2025-04-16,0,26269
2025-04-23,0,26269
2025-04-30,0,26269
2025-05-07,0,26269
2025-05-14,0,26269
2025-05-21,0,26269
2025-05-28,0,26269
2025-06-04,0,26269
2025-06-11,0,26269
2025-06-18,0,26269
2025-06-25,0,26269
2025-07-02,0,26269
2025-07-09,0,26269
2025-07-16,0,26269
2025-07-23,0,26269
2025-07-30,0,26269
2025-08-06,0,26269
2025-08-13,0,26269
2025-08-20,0,26269
2025-08-27,1,26269
2025-09-03,0,26269
2025-09-10,0,26269
2025-09-17,0,26269
2025-09-24,0,26269
2025-10-01,0,26269
2025-10-08,0,26269
2025-10-15,0,26269
2025-10-22,0,26269
2025-10-29,0,26269
2025-11-05,0,26269
2025-11-12,0,26269
2025-11-19,0,26269
2025-11-26,0,26269
2025-12-03,0,26269
2025-12-10,0,26269
2025-12-17,0,26269
2025-12-24,0,26269
2020-01-01,0,26270
2020-01-08,0,26270
2020-01-15,19,26270
2020-01-22,0,26270
2020-01-29,0,26270
2020-02-05,0,26270
2020-02-12,0,26270
2020-02-19,0,26270
2020-02-26,0,26270
2020-03-04,0,26270
2020-03-11,0,26270
2020-03-18,0,26270
2020-03-25,1,26270
2020-04-01,0,26270
2020-04-08,1,26270
2020-04-15,1,26270
2020-04-22,1,26270
2020-04-29,0,26270
2020-05-06,1,26270
2020-05-13,2,26270
2020-05-20,0,26270
2020-05-27,0,26270
2020-06-03,1,26270
2020-06-10,1,26270
2020-06-17,5,26270
2020-06-24,0,26270
2020-07-01,0,26270
2020-07-08,0,26270
2020-07-15,3,26270
2020-07-22,1,26270
2020-07-29,1,26270
2020-08-05,0,26270
2020-08-12,0,26270
2020-08-19,1,26270
2020-08-26,0,26270
2020-09-02,2,26270
2020-09-09,1,26270
2020-09-16,2,26270
2020-09-23,0,26270
2020-09-30,2,26270
2020-10-07,0,26270
2020-10-14,1,26270
2020-10-21,0,26270
2020-10-28,0,26270
2020-11-04,2,26270
2020-11-11,2,26270
2020-11-18,1,26270
2020-11-25,0,26270
2020-12-02,3,26270
2020-12-09,4,26270
2020-12-16,16,26270
2020-12-23,7,26270
2020-12-30,13,26270
2021-01-06,11,26270
2021-01-13,8,26270
2021-01-20,7,26270
2021-01-27,5,26270
2021-02-03,10,26270
2021-02-10,22,26270
2021-02-17,9,26270
2021-02-24,12,26270
2021-03-03,8,26270
2021-03-10,13,26270
2021-03-17,11,26270
2021-03-24,14,26270
2021-03-31,7,26270
2021-04-07,4,26270
2021-04-14,8,26270
2021-04-21,11,26270
2021-04-28,9,26270
2021-05-05,4,26270
2021-05-12,4,26270
2021-05-19,7,26270
2021-05-26,9,26270
2021-06-02,1,26270
2021-06-09,4,26270
2021-06-16,4,26270
2021-06-23,4,26270
2021-06-30,2,26270
2021-07-07,6,26270
2021-07-14,6,26270
2021-07-21,7,26270
2021-07-28,12,26270
2021-08-04,18,26270
2021-08-11,14,26270
2021-08-18,7,26270
2021-08-25,18,26270
2021-09-01,19,26270
2021-09-08,20,26270
2021-09-15,15,26270
2021-09-22,16,26270
2021-09-29,22,26270
2021-10-06,16,26270
2021-10-13,11,26270
2021-10-20,9,26270
2021-10-27,14,26270
2021-11-03,16,26270
2021-11-10,21,26270
2021-11-17,16,26270
2021-11-24,65,26270
2021-12-01,329,26270
2021-12-08,1927,26270
2021-12-15,12306,26270
2021-12-22,21976,26270
2021-12-29,31947,26270
2022-01-05,30163,26270
2022-01-12,27654,26270
2022-01-19,32214,26270
2022-01-26,26671,26270
2022-02-02,28193,26270
2022-02-09,27261,26270
2022-02-16,23509,26270
2022-02-23,20960,26270
2022-03-02,21225,26270
2022-03-09,25290,26270
2022-03-16,22309,26270
2022-03-23,18745,26270
2022-03-30,13357,26270
2022-04-06,12503,26270
2022-04-13,10866,26270
2022-04-20,11842,26270
2022-04-27,9201,26270
2022-05-04,8357,26270
2022-05-11,8144,26270
2022-05-18,8108,26270
2022-05-25,7930,26270
2022-06-01,7907,26270
2022-06-08,8685,26270
2022-06-15,9553,26270
2022-06-22,8925,26270
2022-06-29,9813,26270
2022-07-06,10710,26270
2022-07-13,9453,26270
2022-07-20,8307,26270
2022-07-27,7639,26270
2022-08-03,6636,26270
2022-08-10,5843,26270
2022-08-17,5951,26270
2022-08-24,4674,26270
2022-08-31,4722,26270
2022-09-07,5005,26270
2022-09-14,4966,26270
2022-09-21,5280,26270
2022-09-28,4542,26270
2022-10-05,5002,26270
2022-10-12,4600,26270
2022-10-19,4387,26270
2022-10-26,4616,26270
2022-11-02,3780,26270
2022-11-09,4071,26270
2022-11-16,4197,26270
2022-11-23,4374,26270
2022-11-30,5167,26270
2022-12-07,5365,26270
2022-12-14,4949,26270
2022-12-21,5202,26270
2022-12-28,5658,26270
2023-01-04,4627,26270
2023-01-11,3147,26270
2023-01-18,2962,26270
2023-01-25,3045,26270
2023-02-01,2975,26270
2023-02-08,3721,26270
2023-02-15,3231,26270
2023-02-22,2959,26270
2023-03-01,3031,26270
2023-03-08,3329,26270
2023-03-15,3198,26270
2023-03-22,2813,26270
2023-03-29,2462,26270
2023-04-05,1496,26270
2023-04-12,2047,26270
2023-04-19,1705,26270
2023-04-26,1332,26270
2023-05-03,1169,26270
2023-05-10,1011,26270
2023-05-17,808,26270
2023-05-24,617,26270
2023-05-31,661,26270
2023-06-07,468,26270
2023-06-14,355,26270
2023-06-21,401,26270
2023-06-28,384,26270
2023-07-05,450,26270
2023-07-12,452,26270
2023-07-19,506,26270
2023-07-26,681,26270
2023-08-02,817,26270
2023-08-09,1055,26270
2023-08-16,1159,26270
2023-08-23,1459,26270
2023-08-30,1487,26270
2023-09-06,1619,26270
2023-09-13,1355,26270
2023-09-20,1571,26270
2023-09-27,1347,26270
2023-10-04,1245,26270
2023-10-11,1149,26270
2023-10-18,1045,26270
2023-10-25,998,26270
2023-11-01,968,26270
2023-11-08,1095,26270
2023-11-15,1013,26270
2023-11-22,779,26270
2023-11-29,1253,26270
2023-12-06,1375,26270
2023-12-13,1518,26270
2023-12-20,1495,26270
2023-12-27,1622,26270
2024-01-03,1672,26270
2024-01-10,1285,26270
2024-01-17,1135,26270
2024-01-24,1131,26270
2024-01-31,1034,26270
2024-02-07,985,26270
2024-02-14,759,26270
2024-02-21,736,26270
2024-02-28,561,26270
2024-03-06,483,26270
2024-03-13,384,26270
